	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
0	Time	0.0	0.0	0.00014902202892908345	4.0	55800.0	32	57600.0
1	T° 600					37.03333333333333	0	0.0
2	A1	14400.0	8.0	2.466634357290725e-05	12.0	0.8116666666666666	32	57600.0
3	A2	12600.0	7.0	3.4516906886638674e-05	11.0	0.8763333333333333	32	57600.0
4	A3	10800.0	6.0	1.553393153623564e-05	15.0	0.7616666666666667	32	57600.0
5	A4	12600.0	7.0	1.918630186311786e-05	12.0	0.8933333333333334	32	57600.0
6	A5	10800.0	6.0	7.207442569077233e-05	11.0	0.7676666666666666	32	57600.0
7	A6	10800.0	6.0	1.6644094092401705e-05	15.0	0.7833333333333333	32	57600.0
8	A7	10800.0	6.0	5.1081482076454806e-05	12.0	0.7573333333333333	32	57600.0
9	A8	10800.0	6.0	6.20964852897154e-05	10.0	0.8486666666666666	32	57600.0
10	A9	12600.0	7.0	1.5906496744028862e-05	15.0	0.7736666666666666	32	57600.0
11	A10	10800.0	6.0	1.7007812666938635e-05	14.0	0.7566666666666667	32	57600.0
12	A11	12600.0	7.0	1.5011307085854325e-05	16.0	0.738	32	57600.0
13	A12	12600.0	7.0	1.7717027434013493e-05	13.0	0.8156666666666667	32	57600.0
14	A13	12600.0	7.0	2.5745348785191353e-05	12.0	0.9316666666666666	32	57600.0
15	A14	12600.0	7.0	2.2931040609040952e-05	17.0	0.9366666666666666	32	57600.0
16	A15	12600.0	7.0	1.718743274885796e-05	16.0	0.7223333333333333	32	57600.0
17	A16	12600.0	7.0	5.637616475777009e-05	11.0	0.7663333333333334	32	57600.0
18	A17	12600.0	7.0	2.9089333010471794e-05	16.0	0.8769999999999999	32	57600.0
19	A18	12600.0	7.0	2.5307492335725093e-05	16.0	0.8156666666666667	31	55800.0
20	A19	12600.0	7.0	3.4072560829738486e-05	12.0	0.6970000000000001	32	57600.0
21	A20	10800.0	6.0	1.4650826257619565e-05	16.0	0.7363333333333334	32	57600.0
22	A21	10800.0	6.0	3.0169476596668725e-05	15.0	0.8623333333333333	32	57600.0
23	A22	12600.0	7.0	2.9570234545673322e-05	13.0	0.797	32	57600.0
24	A23	10800.0	6.0	2.2612737428408413e-05	15.0	0.6880000000000001	32	57600.0
25	A24	10800.0	6.0	2.052225780544636e-05	16.0	0.7280000000000001	32	57600.0
26	B1	12600.0	7.0	1.3859216597890444e-05	15.0	0.7483333333333334	32	57600.0
27	B2	12600.0	7.0	1.2655957226260375e-05	14.0	0.7760000000000001	32	57600.0
28	B3	10800.0	6.0	1.150118409834552e-05	15.0	0.7239999999999999	32	57600.0
29	B4	12600.0	7.0	1.0884310982633753e-05	14.0	0.8093333333333333	32	57600.0
30	B5	10800.0	6.0	0.00014824160382261666	9.0	0.7313333333333333	32	57600.0
31	B6	12600.0	7.0	1.4034664187313333e-05	10.0	0.7433333333333333	32	57600.0
32	B7	12600.0	7.0	1.7477895326939092e-05	10.0	1.1276666666666666	30	54000.0
33	B8	12600.0	7.0	6.985495612847472e-06	15.0	0.762	32	57600.0
34	B9	14400.0	8.0	7.763302981071918e-06	11.0	0.7303333333333333	32	57600.0
35	B10	10800.0	6.0	5.344919439585998e-05	10.0	0.7366666666666667	32	57600.0
36	B11	12600.0	7.0	4.076460453151389e-05	10.0	0.8806666666666666	21	37800.0
37	B12	12600.0	7.0	2.1904413529408906e-05	10.0	0.7806666666666667	32	57600.0
38	B13	12600.0	7.0	2.331759815527402e-05	10.0	0.8903333333333334	31	55800.0
39	B14	14400.0	8.0	2.4857863450555788e-05	12.0	0.851	32	57600.0
40	B15	10800.0	6.0	6.333256139430254e-05	10.0	0.7256666666666667	32	57600.0
41	B16	12600.0	7.0	5.387506021504899e-06	12.0	0.7713333333333333	32	57600.0
42	B17	12600.0	7.0	5.519047176746605e-05	9.0	0.8023333333333333	31	55800.0
43	B18	14400.0	8.0	6.816906705700698e-06	15.0	0.529	30	54000.0
44	B19	12600.0	7.0	1.4776332907699646e-05	10.0	0.719	32	57600.0
45	B20	12600.0	7.0	3.890012103109505e-05	10.0	0.7326666666666667	32	57600.0
46	B21	10800.0	6.0	2.2705966348842313e-05	11.0	0.7719999999999999	31	55800.0
47	B22	10800.0	6.0	8.787662280692731e-05	10.0	0.6623333333333333	31	55800.0
48	B23	12600.0	7.0	1.597470411447297e-05	15.0	0.7216666666666667	32	57600.0
49	B24	10800.0	6.0	2.188305689873085e-05	14.0	0.7143333333333333	32	57600.0
50	C1	12600.0	7.0	2.316543843223671e-05	12.0	0.7440000000000001	32	57600.0
51	C2	10800.0	6.0	4.72976479388013e-05	10.0	0.9003333333333333	32	57600.0
52	C3	10800.0	6.0	2.5598818821946642e-05	11.0	0.7516666666666666	32	57600.0
53	C4	10800.0	6.0	3.6225667642791536e-05	10.0	0.8866666666666667	24	43200.0
54	C5	10800.0	6.0	3.549638739108383e-05	10.0	0.7413333333333334	32	57600.0
55	C6	10800.0	6.0	4.286009284382622e-05	10.0	0.751	32	57600.0
56	C7	12600.0	7.0	9.205099180502057e-06	11.0	0.7326666666666667	31	55800.0
57	C8	12600.0	7.0	1.1604674080508746e-06	14.0	0.84	22	39600.0
58	C9	12600.0	7.0	1.0233679071740124e-05	15.0	0.7113333333333333	32	57600.0
59	C10	10800.0	6.0	3.495901232361039e-05	10.0	0.7286666666666667	32	57600.0
60	C11	12600.0	7.0	1.6694597272415218e-05	11.0	0.7200000000000001	31	55800.0
61	C12	10800.0	6.0	5.82763033950965e-06	14.0	0.775	24	43200.0
62	C13	10800.0	6.0	2.1298130124197423e-05	17.0	1.054	32	57600.0
63	C14	12600.0	7.0	3.142304267918136e-05	11.0	0.9569999999999999	29	52200.0
64	C15	12600.0	7.0	2.355710442653602e-06	11.0	0.7466666666666667	32	57600.0
65	C16	12600.0	7.0	5.000979659935122e-06	10.0	0.7996666666666666	32	57600.0
66	C17	12600.0	7.0	4.579179783792399e-06	10.0	0.8446666666666666	32	57600.0
67	C18	12600.0	7.0	1.9411437772260253e-05	13.0	0.7736666666666667	24	43200.0
68	C19	10800.0	6.0	4.618363475752303e-05	10.0	0.7233333333333333	32	57600.0
69	C20	12600.0	7.0	2.753180947635918e-05	10.0	0.718	32	57600.0
70	C21	10800.0	6.0	5.577983748415125e-05	10.0	0.7893333333333334	31	55800.0
71	C22	14400.0	8.0	7.2689044802330934e-06	13.0	0.7336666666666667	26	46800.0
72	C23	10800.0	6.0	9.650562682851428e-06	17.0	0.7120000000000001	32	57600.0
73	C24	10800.0	6.0	2.18412765436834e-05	15.0	0.775	32	57600.0
74	D1	12600.0	7.0	1.3812212330803475e-05	17.0	0.7443333333333334	32	57600.0
75	D2	10800.0	6.0	1.336291003717234e-05	17.0	0.8363333333333333	32	57600.0
76	D3	12600.0	7.0	-1.43365893807795e-06	12.0	0.7473333333333333	32	57600.0
77	D4	12600.0	7.0	6.5194572696820164e-06	11.0	0.822	29	52200.0
78	D5	10800.0	6.0	3.115223218718694e-05	10.0	0.7293333333333334	32	57600.0
79	D6	12600.0	7.0	9.318709255903784e-06	10.0	0.754	32	57600.0
80	D7	10800.0	6.0	3.9501326000627955e-05	10.0	1.1703333333333334	31	55800.0
81	D8	12600.0	7.0	8.44661923465383e-06	14.0	0.7520000000000001	27	48600.0
82	D9	12600.0	7.0	-1.776396444552562e-06	10.0	0.7040000000000001	32	57600.0
83	D10	10800.0	6.0	1.0483150485996734e-05	15.0	0.7216666666666667	32	57600.0
84	D11	12600.0	7.0	1.3134312809466941e-05	16.0	0.862	23	41400.0
85	D12	10800.0	6.0	2.553462383259884e-05	10.0	0.7303333333333333	25	45000.0
86	D13	10800.0	6.0	1.6808611146467633e-05	16.0	0.9296666666666668	29	52200.0
87	D14	12600.0	7.0	4.955574617454811e-05	10.0	0.8946666666666667	30	54000.0
88	D15	12600.0	7.0	-2.925278273603822e-07	12.0	0.7603333333333334	32	57600.0
89	D16	10800.0	6.0	1.3699653479038965e-05	12.0	0.834	32	57600.0
90	D17	12600.0	7.0	-2.2863530176269937e-06	11.0	0.7743333333333333	26	46800.0
91	D18	14400.0	8.0		15.0	0.4963333333333333	18	32400.0
92	D19	10800.0	6.0	0.00017976434427801268	9.0	0.6789999999999999	32	57600.0
93	D20	12600.0	7.0	5.1345863607849755e-06	11.0	0.714	29	52200.0
94	D21	12600.0	7.0	1.872945984861997e-05	11.0	0.7633333333333333	28	50400.0
95	D22	12600.0	7.0	3.2106002090355415e-06	11.0	0.6673333333333332	32	57600.0
96	D23	12600.0	7.0	9.511447098477115e-06	17.0	0.718	32	57600.0
97	D24	10800.0	6.0	6.277558771792243e-05	11.0	0.7079999999999999	32	57600.0
98	E1	10800.0	6.0	1.4364837066577011e-05	14.0	0.7456666666666667	32	57600.0
99	E2	10800.0	6.0	1.4407375923130332e-05	14.0	0.884	32	57600.0
100	E3	10800.0	6.0	0.00011892147536051898	9.0	0.757	32	57600.0
101	E4	10800.0	6.0	6.664044771479271e-07	14.0	0.8559999999999999	25	45000.0
102	E5	12600.0	7.0	-2.5066706496477034e-06	10.0	0.7393333333333333	32	57600.0
103	E6	12600.0	7.0	6.127274854460529e-06	12.0	0.7376666666666667	32	57600.0
104	E7	10800.0	6.0	5.280679408906277e-06	12.0	0.7076666666666668	30	54000.0
105	E8	10800.0	6.0	2.6548538119280453e-05	10.0	0.8313333333333333	21	37800.0
106	E9	12600.0	7.0	-3.7402242785379667e-06	10.0	0.7163333333333334	32	57600.0
107	E10	10800.0	6.0	1.9788127988990385e-05	10.0	0.7413333333333334	32	57600.0
108	E11	12600.0	7.0	1.3276187041915626e-05	10.0	0.7146666666666666	30	54000.0
109	E12	10800.0	6.0	2.2327966425745455e-05	10.0	0.803	24	43200.0
110	E13	10800.0	6.0	1.4562327458863033e-05	18.0	1.037	32	57600.0
