	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
0	Time	0.0	0.0	9.533513122047753e-05	6.0	84600.0	48	86400.0
1	T° 600					37.03333333333333	1	1800.0
2	A1	16200.0	9.0	2.094337413985489e-05	14.0	1.028	48	86400.0
3	A2	12600.0	7.0	1.6442531692288876e-05	13.0	0.9816666666666668	48	86400.0
4	A3	14400.0	8.0	1.2883538593154632e-05	20.0	0.9546666666666667	48	86400.0
5	A4	14400.0	8.0	2.5141440941362198e-05	10.0	1.0343333333333333	47	84600.0
6	A5	14400.0	8.0	1.4072662155816724e-05	21.0	1.0063333333333333	48	86400.0
7	A6	14400.0	8.0	1.9488270612945434e-05	13.0	0.9936666666666666	48	86400.0
8	A7	12600.0	7.0	1.1312894705110907e-05	18.0	0.9579999999999999	46	82800.0
9	A8	12600.0	7.0	1.1041463717240582e-05	17.0	1.0113333333333332	48	86400.0
10	A9	14400.0	8.0	1.3481692934359057e-05	20.0	1.0199999999999998	47	84600.0
11	A10	14400.0	8.0	1.3088009229065499e-05	19.0	0.9383333333333334	47	84600.0
12	A11	18000.0	10.0	7.80391869270724e-06	16.0	0.5576666666666666	48	86400.0
13	A12	14400.0	8.0	7.651571816974091e-06	17.0	1.0616666666666668	48	86400.0
14	A13					0.10233333333333333	48	86400.0
15	A14	12600.0	7.0	1.9573972649557603e-05	17.0	1.0356666666666667	48	86400.0
16	A15	16200.0	9.0	1.3980687437658105e-05	20.0	1.0010000000000001	48	86400.0
17	A16	16200.0	9.0	1.3108096196112422e-05	20.0	0.9876666666666667	48	86400.0
18	A17	12600.0	7.0	1.915507444713129e-05	18.0	1.0763333333333334	48	86400.0
19	A18	12600.0	7.0	1.3924377739223587e-05	18.0	0.9676666666666667	48	86400.0
20	A19	14400.0	8.0	1.0337135303166592e-05	20.0	0.9433333333333334	48	86400.0
21	A20	14400.0	8.0	1.0869310535457709e-05	18.0	0.9540000000000001	48	86400.0
22	A21	10800.0	6.0	2.5293884895076868e-05	18.0	1.031	47	84600.0
23	A22	14400.0	8.0	1.0876230575671758e-05	19.0	0.961	48	86400.0
24	A23	19800.0	11.0	7.609488354732513e-06	18.0	0.617	48	86400.0
25	A24	16200.0	9.0	1.657726257214438e-05	23.0	1.0183333333333333	48	86400.0
26	B1	14400.0	8.0	1.3620781651908694e-05	20.0	0.9400000000000001	48	86400.0
27	B2	12600.0	7.0	1.0015462198670446e-05	18.0	0.898	47	84600.0
28	B3	12600.0	7.0	1.3309913983148157e-05	17.0	0.8886666666666666	47	84600.0
29	B4	12600.0	7.0	1.2728654391222217e-05	16.0	0.9729999999999999	48	86400.0
30	B5	14400.0	8.0	5.540118551147009e-05	11.0	0.9256666666666667	48	86400.0
31	B6	12600.0	7.0	4.766344646019175e-05	12.0	0.9343333333333333	48	86400.0
32	B7	14400.0	8.0	3.241246311499154e-05	12.0	1.1536666666666666	30	54000.0
33	B8	12600.0	7.0	1.2922928309618131e-05	16.0	0.968	47	84600.0
34	B9	14400.0	8.0	1.291150861660913e-05	17.0	0.9096666666666667	48	86400.0
35	B10	14400.0	8.0	2.912873542319636e-05	13.0	0.915	47	84600.0
36	B11	12600.0	7.0	5.527105986470629e-05	11.0	0.816	25	45000.0
