Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time	File_Number
A1	19800.0	11	1.811013514241066e-05	12	0.8116666666666666	32	57600.0	1
A2	18000.0	10	1.83213679287673e-05	13	0.8763333333333333	32	57600.0	1
A3	19800.0	11	1.3739081255228149e-05	13	0.7616666666666667	32	57600.0	1
A4	18000.0	10	1.1754976243615315e-05	12	0.8933333333333334	32	57600.0	1
A5	19800.0	11	1.542322731599435e-05	16	0.7676666666666666	32	57600.0	1
A6	19800.0	11	1.4832739629148676e-05	15	0.7833333333333333	32	57600.0	1
A7	19800.0	11	1.5356486232313043e-05	15	0.7573333333333333	32	57600.0	1
A8	18000.0	10	7.829594092631228e-05	10	0.8486666666666666	32	57600.0	1
A9	19800.0	11	1.7633781090962094e-05	15	0.7736666666666666	32	57600.0	1
A10	18000.0	10	1.730128310253092e-05	13	0.7566666666666667	32	57600.0	1
A11	19800.0	11	1.4814092173307145e-05	16	0.738	32	57600.0	1
A12	18000.0	10	9.85065176730699e-06	13	0.8156666666666667	32	57600.0	1
A13	19800.0	11	2.860063164283822e-05	12	0.9316666666666666	32	57600.0	1
A14	18000.0	10	1.931113293741359e-05	16	0.9366666666666666	32	57600.0	1
A15	19800.0	11	1.1743492929830682e-05	15	0.7223333333333333	32	57600.0	1
A16	19800.0	11	1.6699177111727398e-05	14	0.7663333333333334	32	57600.0	1
A17	19800.0	11	2.075042198123955e-05	16	0.8769999999999999	32	57600.0	1
A18	18000.0	10	2.5307492335725093e-05	13	0.8156666666666667	31	55800.0	1
A19	19800.0	11	1.3108087531777442e-05	12	0.6970000000000001	32	57600.0	1
A20	18000.0	10	1.570129227984204e-05	14	0.7363333333333334	32	57600.0	1
A21	19800.0	11	2.7334875338669447e-05	13	0.8623333333333333	32	57600.0	1
A22	19800.0	11	2.1877055627162454e-05	13	0.797	32	57600.0	1
A23	18000.0	10	1.4545038224595639e-05	15	0.6880000000000001	32	57600.0	1
A24	18000.0	10	1.8655252334973388e-05	14	0.7280000000000001	32	57600.0	1
B1	19800.0	11	1.3293992360911765e-05	15	0.7483333333333334	32	57600.0	1
B2	19800.0	11	1.081646541589075e-05	14	0.7760000000000001	32	57600.0	1
B3	19800.0	11	1.1076137483338733e-05	12	0.7239999999999999	32	57600.0	1
B4	18000.0	10	8.122684072386392e-05	10	0.8093333333333333	32	57600.0	1
B5	19800.0	11		22	0.7313333333333333	32	57600.0	1
B6	19800.0	11	5.993152177933697e-06	16	0.7433333333333333	32	57600.0	1
B7	18000.0	10	9.756712329788698e-05	10	1.1276666666666666	30	54000.0	1
B8	18000.0	10	2.7447635749205124e-06	14	0.762	32	57600.0	1
B9	19800.0	11	6.4224968544774654e-06	16	0.7303333333333333	32	57600.0	1
B10	19800.0	11		22	0.7366666666666667	32	57600.0	1
B11	18000.0	10	0.00010602338804171985	10	0.8806666666666666	21	37800.0	1
B12	19800.0	11	1.9219991148857482e-06	16	0.7806666666666667	32	57600.0	1
B13	19800.0	11	1.6477191882967226e-05	12	0.8903333333333334	31	55800.0	1
B14	19800.0	11	4.8629528613908395e-06	18	0.851	32	57600.0	1
B15	19800.0	11	7.4983440662474025e-06	16	0.7256666666666667	32	57600.0	1
