	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
0	A1	1.44e-05	8	24666.34357290725	12	0.8116666666666666	32	5.76e-05
1	A2	1.26e-05	7	34516.9068866387	11	0.8763333333333333	32	5.76e-05
2	A3	1.08e-05	6	15533.931536235634	15	0.7616666666666667	32	5.76e-05
3	A4	1.26e-05	7	19186.301863117857	12	0.8933333333333334	32	5.76e-05
4	A5	1.08e-05	6	72074.42569077235	11	0.7676666666666666	32	5.76e-05
5	A6	1.08e-05	6	16644.094092401723	15	0.7833333333333333	32	5.76e-05
6	A7	1.08e-05	6	51081.482076454784	12	0.7573333333333333	32	5.76e-05
7	A8	1.08e-05	6	62096.485289715405	10	0.8486666666666666	32	5.76e-05
8	A9	1.26e-05	7	15906.49674402886	15	0.7736666666666666	32	5.76e-05
9	A10	1.08e-05	6	17007.81266693863	14	0.7566666666666667	32	5.76e-05
10	A11	1.26e-05	7	15011.307085854316	16	0.738	32	5.76e-05
11	A12	1.26e-05	7	17717.027434013526	13	0.8156666666666667	32	5.76e-05
12	A13	1.26e-05	7	25745.348785191378	12	0.9316666666666666	32	5.76e-05
13	A14	1.26e-05	7	22931.04060904095	17	0.9366666666666666	32	5.76e-05
14	A15	1.26e-05	7	17187.432748857947	16	0.7223333333333333	32	5.76e-05
15	A16	1.26e-05	7	56376.16475777008	11	0.7663333333333334	32	5.76e-05
16	A17	1.26e-05	7	29089.33301047178	16	0.8769999999999999	32	5.76e-05
17	A18	1.26e-05	7	25307.49233572508	16	0.8156666666666667	31	5.58e-05
18	A19	1.26e-05	7	34072.56082973845	12	0.6970000000000001	32	5.76e-05
19	A20	1.08e-05	6	14650.82625761957	16	0.7363333333333334	32	5.76e-05
20	A21	1.08e-05	6	30169.476596668716	15	0.8623333333333333	32	5.76e-05
21	A22	1.26e-05	7	29570.23454567332	13	0.797	32	5.76e-05
22	A23	1.08e-05	6	22612.73742840839	15	0.6880000000000001	32	5.76e-05
23	A24	1.08e-05	6	20522.257805446356	16	0.7280000000000001	32	5.76e-05
24	B1	1.26e-05	7	13859.216597890418	15	0.7483333333333334	32	5.76e-05
25	B2	1.26e-05	7	12655.957226260361	14	0.7760000000000001	32	5.76e-05
26	B3	1.08e-05	6	11501.184098345528	15	0.7239999999999999	32	5.76e-05
27	B4	1.26e-05	7	10884.310982633755	14	0.8093333333333333	32	5.76e-05
28	B5	1.08e-05	6	148241.60382261666	9	0.7313333333333333	32	5.76e-05
29	B6	1.26e-05	7	14034.664187313358	10	0.7433333333333333	32	5.76e-05
30	B7	1.26e-05	7	17477.89532693909	10	1.1276666666666666	30	5.4e-05
31	B8	1.26e-05	7	6985.495612847483	15	0.762	32	5.76e-05
32	B9	1.44e-05	8	7763.302981071931	11	0.7303333333333333	32	5.76e-05
33	B10	1.08e-05	6	53449.194395859995	10	0.7366666666666667	32	5.76e-05
34	B11	1.26e-05	7	40764.604531513905	10	0.8806666666666666	21	3.78e-05
35	B12	1.26e-05	7	21904.41352940892	10	0.7806666666666667	32	5.76e-05
36	B13	1.26e-05	7	23317.598155274023	10	0.8903333333333334	31	5.58e-05
37	B14	1.44e-05	8	24857.8634505558	12	0.851	32	5.76e-05
38	B15	1.08e-05	6	63332.56139430256	10	0.7256666666666667	32	5.76e-05
39	B16	1.26e-05	7	5387.506021504902	12	0.7713333333333333	32	5.76e-05
40	B17	1.26e-05	7	55190.47176746608	9	0.8023333333333333	31	5.58e-05
41	B18	1.44e-05	8	6816.906705700676	15	0.529	30	5.4e-05
42	B19	1.26e-05	7	14776.33290769964	10	0.719	32	5.76e-05
43	B20	1.26e-05	7	38900.12103109506	10	0.7326666666666667	32	5.76e-05
44	B21	1.08e-05	6	22705.96634884234	11	0.7719999999999999	31	5.58e-05
45	B22	1.08e-05	6	87876.62280692732	10	0.6623333333333333	31	5.58e-05
46	B23	1.26e-05	7	15974.704114472954	15	0.7216666666666667	32	5.76e-05
47	B24	1.08e-05	6	21883.056898730854	14	0.7143333333333333	32	5.76e-05
48	C1	1.26e-05	7	23165.438432236697	12	0.7440000000000001	32	5.76e-05
49	C2	1.08e-05	6	47297.6479388013	10	0.9003333333333333	32	5.76e-05
50	C3	1.08e-05	6	25598.818821946654	11	0.7516666666666666	32	5.76e-05
51	C4	1.08e-05	6	36225.66764279155	10	0.8866666666666667	24	4.32e-05
52	C5	1.08e-05	6	35496.38739108384	10	0.7413333333333334	32	5.76e-05
53	C6	1.08e-05	6	42860.09284382623	10	0.751	32	5.76e-05
54	C7	1.26e-05	7	9205.09918050208	11	0.7326666666666667	31	5.58e-05
55	C8	1.26e-05	7	1160.4674080508757	14	0.84	22	3.96e-05
56	C9	1.26e-05	7	10233.679071740122	15	0.7113333333333333	32	5.76e-05
57	C10	1.08e-05	6	34959.012323610405	10	0.7286666666666667	32	5.76e-05
58	C11	1.26e-05	7	16694.597272415227	11	0.7200000000000001	31	5.58e-05
59	C12	1.08e-05	6	5827.6303395096475	14	0.775	24	4.32e-05
60	C13	1.08e-05	6	21298.1301241974	17	1.054	32	5.76e-05
61	C14	1.26e-05	7	31423.042679181293	11	0.9569999999999999	29	5.22e-05
62	C15	1.26e-05	7	2355.7104426535952	11	0.7466666666666667	32	5.76e-05
63	C16	1.26e-05	7	5000.979659935139	10	0.7996666666666666	32	5.76e-05
64	C17	1.26e-05	7	4579.17978379241	10	0.8446666666666666	32	5.76e-05
65	C18	1.26e-05	7	19411.437772260262	13	0.7736666666666667	24	4.32e-05
66	C19	1.08e-05	6	46183.63475752304	10	0.7233333333333333	32	5.76e-05
67	C20	1.26e-05	7	27531.809476359194	10	0.718	32	5.76e-05
68	C21	1.08e-05	6	55779.83748415128	10	0.7893333333333334	31	5.58e-05
69	C22	1.44e-05	8	7268.90448023309	13	0.7336666666666667	26	4.68e-05
70	C23	1.08e-05	6	9650.562682851427	17	0.7120000000000001	32	5.76e-05
71	C24	1.08e-05	6	21841.276543683412	15	0.775	32	5.76e-05
72	D1	1.26e-05	7	13812.212330803459	17	0.7443333333333334	32	5.76e-05
73	D2	1.08e-05	6	13362.910037172342	17	0.8363333333333333	32	5.76e-05
74	D3	1.26e-05	7	-1433.6589380779526	12	0.7473333333333333	32	5.76e-05
75	D4	1.26e-05	7	6519.457269682015	11	0.822	29	5.22e-05
