	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
0	A1	1.98e-05	11	12230.666579449105	17	0.8116666666666666	32	5.76e-05
1	A2	1.8e-05	10	19761.982068267866	11	0.8763333333333333	32	5.76e-05
2	A3	1.98e-05	11	13957.974338036967	16	0.7616666666666667	32	5.76e-05
3	A4	1.8e-05	10	11754.976243615325	12	0.8933333333333334	32	5.76e-05
4	A5	1.98e-05	11	15423.227315994363	16	0.7676666666666666	32	5.76e-05
5	A6	1.98e-05	11	15185.345811812955	16	0.7833333333333333	32	5.76e-05
6	A7	2.16e-05	12	176189.8575854349	12	0.7573333333333333	32	5.76e-05
7	A8	1.8e-05	10	152182.43369202592	10	0.8486666666666666	32	5.76e-05
8	A9	1.98e-05	11	17633.781090962093	15	0.7736666666666666	32	5.76e-05
9	A10	1.98e-05	11	16882.704979223363	16	0.7566666666666667	32	5.76e-05
10	A11	1.98e-05	11	14814.09217330715	16	0.738	32	5.76e-05
11	A12	1.8e-05	10	9850.651767306981	13	0.8156666666666667	32	5.76e-05
12	A13	1.98e-05	11	28600.631642838198	12	0.9316666666666666	32	5.76e-05
13	A14	1.98e-05	11	15476.038488945836	18	0.9366666666666666	32	5.76e-05
14	A15	1.98e-05	11	11743.49292983069	15	0.7223333333333333	32	5.76e-05
15	A16	1.98e-05	11	99422.03014343185	11	0.7663333333333334	32	5.76e-05
16	A17	1.98e-05	11	20750.421981239553	16	0.8769999999999999	32	5.76e-05
17	A18	1.8e-05	10	21030.979462685635	14	0.8156666666666667	31	5.58e-05
18	A19	1.98e-05	11	13108.087531777428	12	0.6970000000000001	32	5.76e-05
19	A20	1.8e-05	10	15701.292279842028	14	0.7363333333333334	32	5.76e-05
20	A21	1.98e-05	11	27334.875338669433	13	0.8623333333333333	32	5.76e-05
21	A22	1.98e-05	11	21877.055627162437	13	0.797	32	5.76e-05
22	A23	1.98e-05	11	12657.291301132069	15	0.6880000000000001	32	5.76e-05
23	A24	1.8e-05	10	20027.663427562486	16	0.7280000000000001	32	5.76e-05
24	B1	1.98e-05	11	96900.7451127229	11	0.7483333333333334	32	5.76e-05
25	B2	1.98e-05	11	10816.46541589073	14	0.7760000000000001	32	5.76e-05
26	B3	1.98e-05	11	11076.137483338729	12	0.7239999999999999	32	5.76e-05
27	B4	1.98e-05	11	2518.709371462682	20	0.8093333333333333	32	5.76e-05
28	B5	1.98e-05	11	3781.87679334724	22	0.7313333333333333	32	5.76e-05
29	B6	1.98e-05	11	5993.152177933701	16	0.7433333333333333	32	5.76e-05
30	B7	1.8e-05	10	211254.56456953636	10	1.1276666666666666	30	5.4e-05
31	B8	1.98e-05	11	2213.4038807397737	16	0.762	32	5.76e-05
32	B9	2.16e-05	12	4547.546992466354	21	0.7303333333333333	32	5.76e-05
33	B10	1.98e-05	11	6006.064502342035	22	0.7366666666666667	32	5.76e-05
34	B11	1.98e-05	11		16	0.8806666666666666	21	3.78e-05
35	B12	1.98e-05	11	1921.9991148857564	16	0.7806666666666667	32	5.76e-05
36	B13	1.98e-05	11	16477.191882967218	12	0.8903333333333334	31	5.58e-05
37	B14	2.16e-05	12	4059.9531892057057	18	0.851	32	5.76e-05
38	B15	1.98e-05	11	7498.344066247402	16	0.7256666666666667	32	5.76e-05
39	B16	1.98e-05	11	7561.943561500356	16	0.7713333333333333	32	5.76e-05
40	B17	1.98e-05	11	14947.86612988131	12	0.8023333333333333	31	5.58e-05
41	B18	2.52e-05	14		24	0.529	30	5.4e-05
42	B19	1.98e-05	11	8409.070994049374	16	0.719	32	5.76e-05
43	B20	1.98e-05	11	11229.465229843836	12	0.7326666666666667	32	5.76e-05
44	B21	1.98e-05	11	117168.151775187	11	0.7719999999999999	31	5.58e-05
45	B22	2.16e-05	12		22	0.6623333333333333	31	5.58e-05
46	B23	2.16e-05	12	10373.27340413985	15	0.7216666666666667	32	5.76e-05
47	B24	1.98e-05	11	13299.532978018504	14	0.7143333333333333	32	5.76e-05
48	C1	1.98e-05	11	12720.557394267249	15	0.7440000000000001	32	5.76e-05
49	C2	1.98e-05	11	10827.532335400865	17	0.9003333333333333	32	5.76e-05
50	C3	1.98e-05	11	7023.594362029316	15	0.7516666666666666	32	5.76e-05
51	C4	1.8e-05	10	222982.50351716438	10	0.8866666666666667	24	4.32e-05
52	C5	1.98e-05	11	6819.426754838559	15	0.7413333333333334	32	5.76e-05
53	C6	1.98e-05	11	5113.9774623929015	16	0.751	32	5.76e-05
54	C7	1.98e-05	11	9083.239386306066	12	0.7326666666666667	31	5.58e-05
55	C8	1.98e-05	11		14	0.84	22	3.96e-05
56	C9	2.16e-05	12	2493.129990706317	17	0.7113333333333333	32	5.76e-05
57	C10	1.98e-05	11	202273.7909915521	11	0.7286666666666667	32	5.76e-05
58	C11	1.98e-05	11	7976.850172812658	12	0.7200000000000001	31	5.58e-05
59	C12	1.98e-05	11		15	0.775	24	4.32e-05
60	C13	1.98e-05	11	15816.725850091367	17	1.054	32	5.76e-05
61	C14	1.98e-05	11	3419.828143971734	17	0.9569999999999999	29	5.22e-05
62	C15	2.16e-05	12	3141.5774369109954	17	0.7466666666666667	32	5.76e-05
63	C16	1.98e-05	11	5599.01983564503	17	0.7996666666666666	32	5.76e-05
64	C17	1.98e-05	11	14974.384790618062	12	0.8446666666666666	32	5.76e-05
65	C18	1.98e-05	11	3811.079770182332	13	0.7736666666666667	24	4.32e-05
66	C19	1.98e-05	11	10738.888453662692	12	0.7233333333333333	32	5.76e-05
67	C20	2.16e-05	12		24	0.718	32	5.76e-05
68	C21	1.98e-05	11	10111.63128666035	12	0.7893333333333334	31	5.58e-05
69	C22	1.98e-05	11	1652.6923747249384	13	0.7336666666666667	26	4.68e-05
70	C23	2.16e-05	12	7000.6523916987335	20	0.7120000000000001	32	5.76e-05
71	C24	1.98e-05	11	16953.603438852064	15	0.775	32	5.76e-05
72	D1	1.98e-05	11	11465.761149863654	17	0.7443333333333334	32	5.76e-05
73	D2	1.98e-05	11	9815.151758280552	14	0.8363333333333333	32	5.76e-05
74	D3	1.98e-05	11	7844.706088016552	15	0.7473333333333333	32	5.76e-05
75	D4	1.8e-05	10	179620.16677021197	10	0.822	29	5.22e-05
76	D5	2.16e-05	12	4981.934436189753	15	0.7293333333333334	32	5.76e-05
77	D6	1.98e-05	11	168996.34279904957	11	0.754	32	5.76e-05
78	D7	1.98e-05	11	1595.7487329831201	15	1.1703333333333334	31	5.58e-05
79	D8	1.98e-05	11	1356.138181897326	15	0.7520000000000001	27	4.86e-05
80	D9	1.98e-05	11	2924.7431144704024	17	0.7040000000000001	32	5.76e-05
81	D10	2.16e-05	12	3387.920736424305	16	0.7216666666666667	32	5.76e-05
82	D11	1.98e-05	11		16	0.862	23	4.14e-05
83	D12	1.98e-05	11	4383.196069456861	14	0.7303333333333333	25	4.5e-05
84	D13	1.98e-05	11	3723.0741945961804	16	0.9296666666666668	29	5.22e-05
85	D14	2.16e-05	12	3264.859478138852	18	0.8946666666666667	30	5.4e-05
86	D15	2.16e-05	12	3576.3779269317506	17	0.7603333333333334	32	5.76e-05
87	D16	1.98e-05	11	12465.691122576638	12	0.834	32	5.76e-05
88	D17	1.98e-05	11	100178.20475408535	11	0.7743333333333333	26	4.68e-05
89	D18	2.52e-05	14		16	0.4963333333333333	18	3.24e-05
90	D19	1.98e-05	11	2495.0716224209027	16	0.6789999999999999	32	5.76e-05
91	D20	1.98e-05	11	156086.4801723642	11	0.714	29	5.22e-05
92	D21	2.16e-05	12	8025.236215401785	17	0.7633333333333333	28	5.04e-05
93	D22	2.16e-05	12	168434.33160149687	12	0.6673333333333332	32	5.76e-05
94	D23	1.98e-05	11	5818.133112842358	17	0.718	32	5.76e-05
95	D24	1.98e-05	11	11160.972182298137	12	0.7079999999999999	32	5.76e-05
96	E1	1.8e-05	10	11143.635167328457	11	0.7456666666666667	32	5.76e-05
97	E2	1.98e-05	11	10498.40605568774	16	0.884	32	5.76e-05
98	E3	1.98e-05	11	7622.38198398222	15	0.757	32	5.76e-05
99	E4	1.98e-05	11	6490.887810344231	14	0.8559999999999999	25	4.5e-05
100	E5	1.98e-05	11	3947.4643132908773	16	0.7393333333333333	32	5.76e-05
101	E6	1.98e-05	11	5741.726367508672	15	0.7376666666666667	32	5.76e-05
102	E7	1.98e-05	11	9488.04996681147	12	0.7076666666666668	30	5.4e-05
103	E8	1.98e-05	11		14	0.8313333333333333	21	3.78e-05
104	E9	2.16e-05	12	648.1360024130894	17	0.7163333333333334	32	5.76e-05
105	E10	1.98e-05	11	1495.4398142841305	22	0.7413333333333334	32	5.76e-05
106	E11	2.16e-05	12	2086.261328094634	16	0.7146666666666666	30	5.4e-05
107	E12	1.98e-05	11		16	0.803	24	4.32e-05
108	E13	1.98e-05	11	6220.4868773968765	18	1.037	32	5.76e-05
109	E14	1.98e-05	11		18	0.9276666666666666	27	4.86e-05
110	E15	1.98e-05	11	7474.122491831416	15	0.7743333333333333	32	5.76e-05
111	E16	2.16e-05	12	5914.549859885407	16	0.8040000000000002	32	5.76e-05
112	E17	1.98e-05	11	9187.912299598014	12	0.8313333333333333	28	5.04e-05
113	E18	2.16e-05	12		16	0.7793333333333333	25	4.5e-05
114	E19	2.16e-05	12	1119.798649616554	17	0.6646666666666666	32	5.76e-05
115	E20	1.98e-05	11	2317.405056759608	16	0.7296666666666667	32	5.76e-05
116	E21	1.98e-05	11	691.419573447059	21	0.8036666666666669	31	5.58e-05
117	E22	1.98e-05	11		15	0.7543333333333333	24	4.32e-05
118	E23	1.98e-05	11	8466.34986044466	16	0.7213333333333333	32	5.76e-05
119	E24	1.98e-05	11	139086.03086676047	11	0.7880000000000001	32	5.76e-05
120	F1	1.98e-05	11	11728.731689312714	14	0.7436666666666666	32	5.76e-05
121	F2	1.98e-05	11	7305.046305979372	16	0.8266666666666667	32	5.76e-05
122	F3	1.98e-05	11	5478.491180258007	16	0.7160000000000001	32	5.76e-05
123	F4	1.8e-05	10	1672.6540661573529	15	0.7773333333333333	26	4.68e-05
124	F5	2.16e-05	12	2731.3486122238924	17	0.7523333333333334	32	5.76e-05
125	F6	1.98e-05	11	5208.733123877876	16	0.71	32	5.76e-05
126	F7	1.98e-05	11	2120.3725463879186	18	1.1426666666666667	32	5.76e-05
127	F8	1.98e-05	11	1239.0307189423324	15	0.7473333333333333	27	4.86e-05
128	F9	1.98e-05	11	2883.360956525032	17	0.7146666666666666	31	5.58e-05
129	F10	1.98e-05	11	10013.912584478676	12	0.7080000000000001	29	5.22e-05
130	F11	1.98e-05	11		12	0.8846666666666666	18	3.24e-05
131	F12	1.98e-05	11	223054.72001910987	11	0.7123333333333334	31	5.58e-05
132	F13	1.98e-05	11		18	0.9463333333333334	27	4.86e-05
133	F14	1.98e-05	11	202023.45741262866	11	0.89	28	5.04e-05
134	F15	1.98e-05	11	4259.2337277770885	17	0.7963333333333334	32	5.76e-05
135	F16	1.98e-05	11	189381.33653591704	11	0.8126666666666665	32	5.76e-05
136	F17	1.98e-05	11		15	0.8113333333333334	24	4.32e-05
137	F18	2.52e-05	14		24	0.584	31	5.58e-05
138	F19	1.98e-05	11		14	0.582	15	2.7e-05
139	F20	1.98e-05	11	1513.7762923251091	22	0.7333333333333333	32	5.76e-05
140	F21	2.16e-05	12	1614.0428245793275	17	0.8063333333333333	31	5.58e-05
141	F22	2.16e-05	12	1579.03863448778	18	0.7053333333333333	31	5.58e-05
142	F23	1.98e-05	11	392613.5689197616	15	0.5533333333333333	15	2.7e-05
143	F24	1.98e-05	11	11805.209314150998	12	0.7076666666666666	32	5.76e-05
