Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
A1	1.98e-05	11	18110.13514241065	12	0.8116666666666666	32	5.76e-05
A2	1.8e-05	10	18321.367928767286	13	0.8763333333333333	32	5.76e-05
A3	1.98e-05	11	13739.081255228137	13	0.7616666666666667	32	5.76e-05
A4	1.8e-05	10	11754.976243615325	12	0.8933333333333334	32	5.76e-05
A5	1.98e-05	11	15423.227315994363	16	0.7676666666666666	32	5.76e-05
A6	1.98e-05	11	14832.73962914868	15	0.7833333333333333	32	5.76e-05
A7	1.98e-05	11	15356.486232313027	15	0.7573333333333333	32	5.76e-05
A8	1.8e-05	10	78295.94092631232	10	0.8486666666666666	32	5.76e-05
A9	1.98e-05	11	17633.781090962093	15	0.7736666666666666	32	5.76e-05
A10	1.8e-05	10	17301.283102530902	13	0.7566666666666667	32	5.76e-05
A11	1.98e-05	11	14814.09217330715	16	0.738	32	5.76e-05
A12	1.8e-05	10	9850.651767306981	13	0.8156666666666667	32	5.76e-05
A13	1.98e-05	11	28600.631642838198	12	0.9316666666666666	32	5.76e-05
A14	1.8e-05	10	19311.132937413575	16	0.9366666666666666	32	5.76e-05
A15	1.98e-05	11	11743.49292983069	15	0.7223333333333333	32	5.76e-05
A16	1.98e-05	11	16699.177111727386	14	0.7663333333333334	32	5.76e-05
A17	1.98e-05	11	20750.421981239553	16	0.8769999999999999	32	5.76e-05
A18	1.8e-05	10	25307.49233572508	13	0.8156666666666667	31	5.58e-05
A19	1.98e-05	11	13108.087531777428	12	0.6970000000000001	32	5.76e-05
A20	1.8e-05	10	15701.292279842028	14	0.7363333333333334	32	5.76e-05
A21	1.98e-05	11	27334.875338669433	13	0.8623333333333333	32	5.76e-05
A22	1.98e-05	11	21877.055627162437	13	0.797	32	5.76e-05
A23	1.8e-05	10	14545.038224595623	15	0.6880000000000001	32	5.76e-05
A24	1.8e-05	10	18655.25233497338	14	0.7280000000000001	32	5.76e-05
B1	1.98e-05	11	13293.99236091176	15	0.7483333333333334	32	5.76e-05
B2	1.98e-05	11	10816.46541589073	14	0.7760000000000001	32	5.76e-05
B3	1.98e-05	11	11076.137483338729	12	0.7239999999999999	32	5.76e-05
B4	1.8e-05	10	81226.84072386395	10	0.8093333333333333	32	5.76e-05
B5	1.98e-05	11		22	0.7313333333333333	32	5.76e-05
B6	1.98e-05	11	5993.152177933701	16	0.7433333333333333	32	5.76e-05
B7	1.8e-05	10	97567.12329788702	10	1.1276666666666666	30	5.4e-05
B8	1.8e-05	10	2744.7635749205124	14	0.762	32	5.76e-05
