Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time	File_Number
A1	7200.0	4	2.843749669419918e-06	15	0.6726666666666666	48	86400.0	2
A2	7200.0	4	4.226258230484334e-06	7	0.6253333333333334	19	34200.0	2
A3	7200.0	4	4.425433077757236e-06	7	0.6193333333333334	16	28800.0	2
A4	7200.0	4	3.150573510341033e-06	5	0.6043333333333333	11	19800.0	2
A5	7200.0	4	-4.617168102838523e-06	20	0.621	48	86400.0	2
A6	7200.0	4	-1.65455769667774e-06	21	0.6443333333333333	48	86400.0	2
A7	1800.0	1	1.2594459638346448e-06	10	3.485333333333333	15	27000.0	2
B1	7200.0	4	3.2331161407021955e-06	8	0.5273333333333333	12	21600.0	2
B2	7200.0	4	3.2358520120327054e-06	4	0.49700000000000005	8	14400.0	2
B3	7200.0	4	2.132835249770796e-06	5	0.5023333333333334	14	25200.0	2
B4	7200.0	4	4.812646238389412e-06	6	0.6713333333333334	17	30600.0	2
B5	7200.0	4	3.4182289390753065e-06	6	0.6916666666666668	20	36000.0	2
B6	7200.0	4	3.4032401193294164e-06	7	0.678	22	39600.0	2
B7	7200.0	4	5.791841550669059e-06	6	0.6363333333333333	48	86400.0	2
B8	7200.0	4	4.7442935183974923e-07	16	0.7003333333333334	48	86400.0	2
C4	7200.0	4	1.4283176721021989e-06	8	0.5276666666666667	22	39600.0	2
C5	7200.0	4		5	0.5176666666666666	8	14400.0	2
C6	7200.0	4	1.065303405151035e-06	10	0.529	14	25200.0	2
C7	7200.0	4	9.513079470401665e-06	7	0.598	45	81000.0	2
C8	7200.0	4	2.507141569735295e-06	7	0.65	48	86400.0	2
D1	9000.0	5	1.9307422149866905e-06	16	0.6783333333333333	47	84600.0	2
D2	7200.0	4	1.671370335361052e-05	7	0.66	21	37800.0	2
D3	7200.0	4	1.4902115879933838e-05	7	0.665	20	36000.0	2
D4	7200.0	4	1.421475002240147e-05	7	0.6763333333333333	19	34200.0	2
D5	7200.0	4	2.8041967107935656e-06	8	0.8186666666666667	20	36000.0	2
D6	7200.0	4	4.471056573879897e-05	4	0.801	19	34200.0	2
D7	7200.0	4	1.3915050403850737e-06	17	0.8123333333333332	48	86400.0	2
